"FTE Staffing Report for Trend"

"",,,"Year",,,,
,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",16.0,15.0,14.0,14.0,12.8
,="Special Education - Teachers and Instructors",="Certified",10.0,9.0,10.0,10.0,11.0
,="Instructional Specialists Who Support Teachers",="Certified",0.5,0.5,0.2,0.4,1.4
,="Administrators  Coordinators and Department Chairs - District Central Office",="Certified",1.6,1.6,1.6,2.6,1.9
,="Library/Media - Specialists (Certified)",="Certified",2.0,2.0,1.0,2.0,2.0
="Regional School District 05",="Administrators  Coordinators and Department Chairs - School Level",="Certified",11.2,12.2,12.2,11.4,13.2
,="Counselors  Social Workers  and School Psychologists",="Certified",19.3,19.0,18.0,17.0,18.0
,="General Education - Paraprofessional Instructional Assistants",="Non-Certified",2.0,2.0,2.0,2.0,2.0
,="General Education - Teachers and Instructors",="Certified",171.4,171.2,170.6,164.7,175.2
,="Library/Media - Support Staff",="Non-Certified",4.0,3.0,3.0,3.0,3.0
,="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",116.8,116.8,119.5,118.2,119.0
,="School Nurses",="Non-Certified",4.0,4.0,4.0,4.0,4.0
,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",21.0,21.0,22.0,23.0,22.0
,="Special Education - Teachers and Instructors",="Certified",18.0,17.0,17.0,17.0,17.5
,="Instructional Specialists Who Support Teachers",="Certified",9.6,10.0,10.6,11.4,4.2
,="Administrators  Coordinators and Department Chairs - District Central Office",="Certified",6.0,6.0,6.0,5.0,5.0
,="Library/Media - Specialists (Certified)",="Certified",3.8,3.8,4.0,4.0,4.0
="Regional School District 06",="Administrators  Coordinators and Department Chairs - School Level",="Certified",5.4,5.4,5.4,5.6,4.8
,="Counselors  Social Workers  and School Psychologists",="Certified",6.5,6.9,5.9,5.7,6.0
,="General Education - Paraprofessional Instructional Assistants",="Non-Certified",8.8,.,3.5,2.5,1.0
,="General Education - Teachers and Instructors",="Certified",77.6,73.5,75.1,74.9,69.8
,="Library/Media - Support Staff",="Non-Certified",3.9,.,2.5,2.5,2.5
,="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",52.8,1.4,47.8,44.4,43.8
,="School Nurses",="Non-Certified",4.0,.,4.0,4.0,4.0
,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",16.4,.,16.4,16.5,20.5
,="Special Education - Teachers and Instructors",="Certified",9.6,9.7,9.9,9.3,10.7
,="Instructional Specialists Who Support Teachers",="Certified",6.5,9.2,11.7,11.2,7.6
,="Administrators  Coordinators and Department Chairs - District Central Office",="Certified",2.0,.,1.0,3.0,2.6
,="Library/Media - Specialists (Certified)",="Certified",1.0,1.0,1.0,1.8,0.6
="Regional School District 07",="Administrators  Coordinators and Department Chairs - School Level",="Certified",6.0,6.0,6.0,6.4,5.8
,="Counselors  Social Workers  and School Psychologists",="Certified",7.8,8.8,8.0,9.1,4.8
,="General Education - Paraprofessional Instructional Assistants",="Non-Certified",0.0,0.0,0.0,0.0,0.0
,="General Education - Teachers and Instructors",="Certified",71.4,73.4,74.7,74.2,77.0
,="Library/Media - Support Staff",="Non-Certified",1.8,1.8,1.8,1.8,0.9
,="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",77.6,72.8,75.9,68.1,64.5
,="School Nurses",="Non-Certified",2.0,2.0,2.0,2.0,2.0
,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",12.8,10.8,14.8,16.8,20.2
,="Special Education - Teachers and Instructors",="Certified",13.3,14.3,13.0,14.2,11.4
,="Instructional Specialists Who Support Teachers",="Certified",1.6,0.4,0.7,0.8,.
,"Administrators  Coordinators and Department Chairs - District Central Office","Certified",1.0,1.0,1.0,1.0,1.0
,="Library/Media - Specialists (Certified)",="Certified",1.0,1.0,1.0,1.0,1.0
="Regional School District 08",="Administrators  Coordinators and Department Chairs - School Level",="Certified",6.8,7.8,7.4,7.6,9.4
,="Counselors  Social Workers  and School Psychologists",="Certified",12.4,12.4,12.4,12.4,11.6
,="General Education - Paraprofessional Instructional Assistants",="Non-Certified",4.0,4.0,1.0,1.0,1.5
,="General Education - Teachers and Instructors",="Certified",110.3,112.9,114.3,118.9,112.1
,="Library/Media - Support Staff",="Non-Certified",4.0,4.0,4.0,4.0,4.0
,="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",65.0,66.0,67.0,63.0,70.0
,="School Nurses",="Non-Certified",2.0,2.0,2.0,2.0,2.1
,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",37.0,36.0,32.0,35.0,36.0
,="Special Education - Teachers and Instructors",="Certified",19.2,20.9,22.3,21.1,23.2
,="Instructional Specialists Who Support Teachers",="Certified",1.0,1.0,1.0,1.0,1.2
,="Administrators  Coordinators and Department Chairs - District Central Office",="Certified",2.0,2.0,2.0,2.0,1.0
,="Library/Media - Specialists (Certified)",="Certified",2.0,2.0,2.2,1.0,2.0
="Regional School District 09",="Administrators  Coordinators and Department Chairs - School Level",="Certified",8.4,7.6,7.6,8.1,9.1
,="Counselors  Social Workers  and School Psychologists",="Certified",8.3,8.5,6.5,8.5,8.5
,="General Education - Paraprofessional Instructional Assistants",="Non-Certified",0.0,0.0,4.0,4.0,4.0
,="General Education - Teachers and Instructors",="Certified",65.5,67.2,66.9,66.2,67.8
,="Library/Media - Support Staff",="Non-Certified",0.0,0.0,3.0,3.0,3.0
,="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",80.0,80.0,116.7,37.0,66.6
,="School Nurses",="Non-Certified",1.0,1.0,1.0,1.0,2.0
,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",0.0,0.0,8.0,7.0,10.0
,="Special Education - Teachers and Instructors",="Certified",6.6,7.4,7.4,8.7,7.4
,="Instructional Specialists Who Support Teachers",="Certified",6.3,4.9,3.7,4.1,4.1
,="Administrators  Coordinators and Department Chairs - District Central Office",="Certified",1.0,1.0,1.0,1.0,2.0
,="Library/Media - Specialists (Certified)",="Certified",2.0,2.0,2.0,2.0,1.0
="Regional School District 10",="Administrators  Coordinators and Department Chairs - School Level",="Certified",13.8,13.8,15.7,14.8,16.0
,="Counselors  Social Workers  and School Psychologists",="Certified",15.0,15.0,15.0,15.0,12.5
,="General Education - Paraprofessional Instructional Assistants",="Non-Certified",14.0,12.0,12.0,14.0,14.0
,="General Education - Teachers and Instructors",="Certified",170.7,172.2,172.4,179.9,169.7
,="Library/Media - Support Staff",="Non-Certified",4.0,4.0,4.0,4.0,4.0
,="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",111.4,117.0,116.4,111.7,117.3
,="School Nurses",="Non-Certified",6.0,6.0,6.0,6.0,6.0
,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",48.0,50.0,51.0,53.0,55.0
,="Special Education - Teachers and Instructors",="Certified",27.9,26.9,27.4,28.4,22.9
,="Instructional Specialists Who Support Teachers",="Certified",9.5,9.6,9.6,9.6,9.8
,="Administrators  Coordinators and Department Chairs - District Central Office",="Certified",4.4,4.1,3.6,3.6,3.0
,="Library/Media - Specialists (Certified)",="Certified",4.0,4.0,4.0,4.0,4.0
="Regional School District 11",="Administrators  Coordinators and Department Chairs - School Level",="Certified",2.0,2.1,2.1,2.1,1.7
,="Counselors  Social Workers  and School Psychologists",="Certified",4.0,4.0,4.0,4.0,4.0
,="General Education - Paraprofessional Instructional Assistants",="Non-Certified",0.0,0.0,0.0,0.0,0.0
,="General Education - Teachers and Instructors",="Certified",25.0,25.9,25.9,26.0,24.8
,="Library/Media - Support Staff",="Non-Certified",0.0,0.0,0.0,0.0,0.0
,="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",22.5,22.5,22.5,22.5,22.5
,="School Nurses",="Non-Certified",1.0,1.0,1.0,1.0,1.0
,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",3.0,3.0,3.0,3.0,3.0
,="Special Education - Teachers and Instructors",="Certified",5.6,5.0,5.0,5.0,5.0
,="Instructional Specialists Who Support Teachers",="Certified",.,1.0,1.0,1.0,1.0
,="Administrators  Coordinators and Department Chairs - District Central Office",="Certified",0.4,0.4,0.4,0.4,0.7
,="Library/Media - Specialists (Certified)",="Certified",1.0,1.0,1.0,1.0,1.0
="Regional School District 12",="Administrators  Coordinators and Department Chairs - School Level",="Certified",6.3,4.4,5.9,5.6,5.4
,="Counselors  Social Workers  and School Psychologists",="Certified",6.5,6.5,7.5,6.3,6.3
,="General Education - Paraprofessional Instructional Assistants",="Non-Certified",14.0,14.8,16.1,14.5,14.5
,="General Education - Teachers and Instructors",="Certified",78.0,75.7,73.1,68.1,69.8
,="Library/Media - Support Staff",="Non-Certified",3.5,4.0,4.0,4.0,4.0
,="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",65.0,65.6,68.4,68.9,70.2
,="School Nurses",="Non-Certified",4.0,4.0,4.0,4.0,4.0
,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",22.0,23.8,23.0,23.0,22.0
,="Special Education - Teachers and Instructors",="Certified",13.9,13.8,13.9,13.9,14.9
,="Instructional Specialists Who Support Teachers",="Certified",2.0,2.0,3.0,2.8,3.0
,="Administrators  Coordinators and Department Chairs - District Central Office",="Certified",4.0,4.0,4.0,4.0,4.0
,="Library/Media - Specialists (Certified)",="Certified",1.0,1.0,1.0,0.9,0.8
="Regional School District 13",="Administrators  Coordinators and Department Chairs - School Level",="Certified",9.4,9.4,8.0,7.8,7.8
,="Counselors  Social Workers  and School Psychologists",="Certified",11.1,11.7,12.9,12.0,12.0
,="General Education - Paraprofessional Instructional Assistants",="Non-Certified",14.5,14.0,13.0,13.7,11.2
,="General Education - Teachers and Instructors",="Certified",143.3,142.8,143.0,139.3,141.1
,="Library/Media - Support Staff",="Non-Certified",4.0,2.5,3.5,3.5,2.0
,="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",91.0,72.8,92.5,93.3,93.3
,="School Nurses",="Non-Certified",6.0,5.0,6.0,6.0,6.0
,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",32.5,28.0,40.5,38.5,38.1
,="Special Education - Teachers and Instructors",="Certified",20.0,21.2,20.7,19.2,19.2
,="Instructional Specialists Who Support Teachers",="Certified",6.1,6.6,7.4,7.4,7.6
,="Administrators  Coordinators and Department Chairs - District Central Office",="Certified",4.0,4.0,5.0,4.0,5.0
,="Library/Media - Specialists (Certified)",="Certified",4.6,4.6,4.6,4.0,4.0
="Regional School District 14",="Administrators  Coordinators and Department Chairs - School Level",="Certified",6.8,8.2,8.4,9.9,6.4
,="Counselors  Social Workers  and School Psychologists",="Certified",13.0,13.0,11.0,8.8,14.0
,="General Education - Paraprofessional Instructional Assistants",="Non-Certified",18.0,14.0,9.0,8.5,9.6
,="General Education - Teachers and Instructors",="Certified",127.6,131.0,125.1,121.3,125.2
,="Library/Media - Support Staff",="Non-Certified",1.0,0.0,0.0,0.0,1.5
,="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",102.5,99.3,96.2,104.0,90.8
,="School Nurses",="Non-Certified",3.9,3.9,3.9,3.9,4.0
,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",23.5,28.5,37.5,35.0,33.5
,="Special Education - Teachers and Instructors",="Certified",20.0,19.0,20.0,20.0,19.8
,="Instructional Specialists Who Support Teachers",="Certified",8.5,6.5,6.5,8.5,8.2
,="Administrators  Coordinators and Department Chairs - District Central Office",="Certified",4.0,4.0,3.0,5.0,5.0
,="Library/Media - Specialists (Certified)",="Certified",4.0,4.0,4.0,3.0,3.0
="Regional School District 15",="Administrators  Coordinators and Department Chairs - School Level",="Certified",14.6,16.4,22.8,22.8,17.0
,="Counselors  Social Workers  and School Psychologists",="Certified",21.2,21.2,21.2,21.2,22.0
,="General Education - Paraprofessional Instructional Assistants",="Non-Certified",36.9,36.7,36.8,36.8,38.4
,="General Education - Teachers and Instructors",="Certified",265.0,264.7,261.1,253.7,246.7
,="Library/Media - Support Staff",="Non-Certified",5.0,4.0,4.0,4.0,4.0
,="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",183.9,182.4,186.8,173.7,168.8
,="School Nurses",="Non-Certified",11.1,11.1,11.3,11.3,10.8
,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",66.0,72.0,65.8,63.4,55.2
,="Special Education - Teachers and Instructors",="Certified",43.8,43.8,42.5,40.0,40.0
,="Instructional Specialists Who Support Teachers",="Certified",16.3,15.3,16.3,16.3,18.8
,="Administrators  Coordinators and Department Chairs - District Central Office",="Certified",5.0,5.0,5.0,5.0,5.0
,="Library/Media - Specialists (Certified)",="Certified",7.0,7.0,8.0,8.0,8.0
="Regional School District 16",="Administrators  Coordinators and Department Chairs - School Level",="Certified",13.4,12.8,12.0,11.0,11.6
,="Counselors  Social Workers  and School Psychologists",="Certified",17.6,18.1,16.1,16.2,16.2
,="General Education - Paraprofessional Instructional Assistants",="Non-Certified",6.0,9.0,11.3,2.1,1.3
,="General Education - Teachers and Instructors",="Certified",165.6,162.6,159.4,144.3,148.4
,="Library/Media - Support Staff",="Non-Certified",6.8,5.9,6.8,5.4,4.1
,="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",426.5,97.9,124.3,102.3,103.9
,="School Nurses",="Non-Certified",5.5,5.0,5.0,4.7,4.9
,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",50.1,48.5,37.8,35.6,39.4
,="Special Education - Teachers and Instructors",="Certified",18.8,17.8,17.6,15.6,16.3
,="Instructional Specialists Who Support Teachers",="Certified",7.5,7.5,7.0,8.0,7.0
,="Administrators  Coordinators and Department Chairs - District Central Office",="Certified",5.0,5.0,4.0,4.4,4.4
,="Library/Media - Specialists (Certified)",="Certified",1.0,1.0,1.0,1.0,2.0
="Regional School District 17",="Administrators  Coordinators and Department Chairs - School Level",="Certified",10.0,10.0,5.0,8.0,7.0
,="Counselors  Social Workers  and School Psychologists",="Certified",14.1,13.1,12.5,13.3,14.0
,="General Education - Paraprofessional Instructional Assistants",="Non-Certified",16.3,312.3,14.9,15.1,15.2
,="General Education - Teachers and Instructors",="Certified",172.2,165.2,162.4,168.0,165.2
,="Library/Media - Support Staff",="Non-Certified",8.0,8.0,8.0,4.5,5.0
,="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",116.4,121.2,124.2,128.2,133.7
,="School Nurses",="Non-Certified",5.0,5.0,5.0,5.0,5.0
,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",34.2,38.4,38.8,42.9,42.0
,="Special Education - Teachers and Instructors",="Certified",23.5,24.5,19.5,24.0,24.0
,="Instructional Specialists Who Support Teachers",="Certified",3.5,3.5,3.5,5.0,7.0
,="Administrators  Coordinators and Department Chairs - District Central Office",="Certified",3.0,3.0,5.0,4.0,4.0
,="Library/Media - Specialists (Certified)",="Certified",2.0,2.0,2.0,4.0,4.0
="Regional School District 18",="Administrators  Coordinators and Department Chairs - School Level",="Certified",7.0,6.0,7.0,9.5,7.0
,="Counselors  Social Workers  and School Psychologists",="Certified",8.8,8.8,8.8,8.6,8.6
,="General Education - Paraprofessional Instructional Assistants",="Non-Certified",12.5,12.5,12.5,10.2,12.9
,="General Education - Teachers and Instructors",="Certified",111.3,108.3,108.1,103.3,101.7
,="Library/Media - Support Staff",="Non-Certified",1.6,1.6,1.6,1.6,1.6
,="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",67.5,68.3,69.8,68.5,60.7
,="School Nurses",="Non-Certified",5.4,5.4,5.4,5.4,4.5
,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",36.9,36.9,42.9,45.9,35.9
,="Special Education - Teachers and Instructors",="Certified",20.0,20.0,20.0,21.0,21.0
,="Instructional Specialists Who Support Teachers",="Certified",4.2,4.2,5.2,6.2,8.0
,="Administrators  Coordinators and Department Chairs - District Central Office",="Certified",4.0,4.0,4.0,4.0,4.0
,="Library/Media - Specialists (Certified)",="Certified",5.0,4.0,3.0,4.0,4.0
