"Student Counts by School and Race"
"All Districts, All Schools"
"Trend"

"",,,,"Race",,,,,,,,,,,,
"Norwich School District","=""1040011""","Virtual Learning Academy","=""1049211""",0,0,"*",20,0,0,14,0,0,"*",18,0,55
"Norwich School District","=""1040011""","ABA Autism Program","=""1040411""",0,0,"*","*",0,0,14,0,0,0,12,0,36
"Norwich School District","=""1040011""","ABA Program @ Kelly","=""1041111""",0,0,0,"*",0,0,"*",0,0,0,"*",0,6
"Norwich School District","=""1040011""","Bishop School Early Learning Center","=""1040111""",24,"*",160,128,135,107,276,"*",0,86,307,211,1438
"Norwich School District","=""1040011""","Case Street Early Learning Center at DTZ","=""1040211""",0,"*",17,51,0,0,39,0,0,"*",58,0,177
"Norwich School District","=""1040011""","Deborah-Tennant Zinewicz  School","=""1049111""",7,"*",0,37,27,21,30,0,0,"*",71,83,287
"Norwich School District","=""1040011""","Greeneville School","=""1040611""",16,0,32,0,339,385,0,0,0,0,0,224,996
"Norwich School District","=""1040011""","Hickory Street School","=""1049011""","*","*",0,11,9,14,24,0,0,23,26,23,133
"Norwich School District","=""1040011""","IRS Program at Moriarty","=""1040911""",0,0,0,0,0,0,"*",0,0,0,"*",0,6
"Norwich School District","=""1040011""","IRS Program at Uncas","=""1040711""",0,0,0,0,0,0,"*",0,0,0,"*",0,"*"
"Norwich School District","=""1040011""","John B. Stanton Network School","=""1041411""",32,"*",369,495,243,186,866,"*",0,269,763,445,3691
"Norwich School District","=""1040011""","Kelly Middle School","=""1045111""",74,36,295,915,483,413,1248,8,0,393,1893,1022,6780
"Norwich School District","=""1040011""","Moriarty Magnet School","=""1042011""",24,"*",197,552,212,219,853,"*",0,256,1169,659,4158
"Norwich School District","=""1040011""","Samuel Huntington School","=""1040811""",9,"*",197,329,183,189,541,"*",0,291,1502,730,3983
"Norwich School District","=""1040011""","Special Needs Program","=""1040511""",0,0,6,"*",0,0,14,0,0,"*",8,0,36
"Norwich School District","=""1040011""","Teachers' Memorial Middle School","=""1045211""",43,37,537,632,352,318,869,16,0,248,958,633,4643
"Norwich School District","=""1040011""","Thames River Academy","=""1046111""","*","*",8,28,70,42,37,0,0,10,80,134,418
"Norwich School District","=""1040011""","Thomas W. Mahan School","=""1041711""",24,"*",584,322,141,149,499,"*",0,216,672,345,2966
"Norwich School District","=""1040011""","Uncas Network School","=""1041911""",10,12,174,422,169,138,653,20,0,220,464,167,2449
"Norwich School District","=""1040011""","Veterans' Memorial School","=""1041811""","*",36,206,391,208,190,659,"*",0,243,735,284,2980
"Norwich School District","=""1040011""","Wequonnoc Magnet School","=""1041511""",23,16,21,355,217,136,521,7,0,238,646,329,2509
"Odyssey Community School District","=""2630013""","Odyssey Community School","=""2635113""","*",8,245,442,143,101,341,"*",0,102,1004,269,2663
"Old Saybrook School District","=""1060011""","Kathleen E. Goodwin School","=""1060211""","*",0,186,40,28,51,280,"*",0,60,2345,1278,4271
"Old Saybrook School District","=""1060011""","Old Saybrook Middle School","=""1065211""","*",0,296,83,48,75,227,"*",0,72,3262,1613,5687
"Old Saybrook School District","=""1060011""","Old Saybrook Senior High School","=""1066111""","*","*",308,48,22,42,156,0,0,73,2946,1387,4988
"Orange School District","=""1070011""","Mary L. Tracy School","=""1070211""",0,"*",182,13,"*",19,45,0,0,41,954,482,1749
"Orange School District","=""1070011""","Peck Place School","=""1070511""","*","*",437,75,24,41,87,0,0,34,2106,1072,3880
"Orange School District","=""1070011""","Race Brook School","=""1070311""",0,0,464,43,29,52,137,0,0,64,2060,990,3839
"Orange School District","=""1070011""","Turkey Hill School","=""1070411""",0,"*",366,50,44,"*",103,0,0,25,1660,754,3026
"Oxford School District","=""1080011""","Alternative Education","=""1080411""",0,0,0,"*",0,0,"*",0,0,0,23,0,26
"Oxford School District","=""1080011""","Great Oak School","=""1085111""","*","*",92,44,38,72,181,0,0,75,3211,1373,5094
"Oxford School District","=""1080011""","Oxford Center School","=""1080111""","*","*",110,31,18,50,194,0,0,62,3069,1461,5009
"Oxford School District","=""1080011""","Oxford High School","=""1086011""","*",0,107,90,26,37,226,"*",0,72,3697,1156,5417
"Oxford School District","=""1080011""","Quaker Farms School","=""1080311""","*",10,100,21,14,36,215,"*",0,68,2734,1609,4814
"Park City Prep Charter School District","=""2830013""","Park City Prep Charter School","=""2835113""","*",0,25,1148,436,218,816,"*",0,26,93,6,2770
"Path Academy District","=""2930013""","Path Academy","=""2930113""",0,"*","*",35,0,0,294,0,0,"*",99,0,432
"Plainfield School District","=""1090011""","Early Childhood Center","=""1090511""","*",0,10,0,21,56,8,0,"*",0,104,723,471
"Plainfield School District","=""1090011""","Early Childhood Center","=""1098011""",0,0,10,"*",21,56,8,0,0,"*",104,723,471
"Plainfield School District","=""1090011""","Moosup Elementary School","=""1090111""",17,27,73,82,25,51,47,"*","*",11,2190,771,3301
"Plainfield School District","=""1090011""","Plainfield Central School","=""1095111""",39,52,121,163,57,66,75,9,0,7,3567,1514,5670
"Plainfield School District","=""1090011""","Plainfield High School","=""1096111""",19,66,180,152,57,104,95,"*",0,"*",4570,2418,7678
"Plainfield School District","=""1090011""","Plainfield Memorial School","=""1090311""",28,25,82,128,48,51,38,"*",0,"*",2320,1049,3782
"Plainfield School District","=""1090011""","Shepard Hill Elementary School","=""1090411""",13,24,82,170,42,56,115,17,0,11,2540,801,3871
"Plainville School District","=""1100011""","Frank T. Wheeler School","=""1100411""",0,7,98,122,101,81,336,0,0,78,1390,709,2922
"Plainville School District","=""1100011""","Linden Street School","=""1100211""","*",0,100,105,"*",129,549,0,0,124,2088,1007,4143
"Plainville School District","=""1100011""","Louis Toffolon School","=""1100511""","*",10,82,104,46,76,307,"*",0,91,1987,878,3589
"Plainville School District","=""1100011""","Middle School of Plainville","=""1105211""","*","*",111,182,130,135,528,0,0,128,2907,1472,5598
"Plainville School District","=""1100011""","Plainville High School","=""1106111""","*",15,172,275,164,144,598,"*",0,165,4020,2212,7775
"Plainville School District","=""1100011""","Prekindergarten Program","=""1108011""",0,0,14,"*","*",10,17,0,0,9,136,106,302
"Plymouth School District","=""1110011""","Eli Terry Jr. Middle School","=""1115111""",0,9,47,47,40,43,143,0,0,25,2445,1316,4115
"Plymouth School District","=""1110011""","Harry S. Fisher Elementary School","=""1110411""",0,"*",67,41,13,28,137,"*",0,28,2200,743,3269
"Plymouth School District","=""1110011""","Main Street School","=""1110111""",0,0,"*",0,"*",6,0,0,0,0,0,169,181
"Plymouth School District","=""1110011""","Plymouth Alternative High School","=""1117111""",0,0,0,0,0,0,"*",0,0,0,"*",0,34
"Plymouth School District","=""1110011""","Plymouth Center School","=""1110211""","*","*",21,26,17,38,154,0,0,14,2228,1274,3779
"Plymouth School District","=""1110011""","Prospect Street School","=""1110311""",0,0,"*",0,9,"*",0,0,0,0,0,159,173
"Plymouth School District","=""1110011""","Terryville High School","=""1116111""","*","*",53,70,23,42,131,0,0,21,3156,1543,5057
"Pomfret School District","=""1120011""","Pomfret Community School","=""1120111""",0,"*",135,46,28,32,79,"*",0,27,2808,1513,4675
"Portland School District","=""1130011""","Brownstone Intermediate School","=""1130511""","*","*",42,45,35,25,120,"*",0,60,1327,635,2295
"Portland School District","=""1130011""","Gildersleeve School","=""1130411""","*","*",50,41,31,31,144,"*",0,69,1280,635,2286
"Portland School District","=""1130011""","Portland High School","=""1136111""",6,"*",41,70,38,39,147,"*",0,76,2286,997,3702
"Portland School District","=""1130011""","Portland Middle School","=""1135111""",6,"*",31,42,25,16,113,"*",0,64,1367,643,2311
"Portland School District","=""1130011""","Valley View School","=""1130211""",7,0,55,58,55,30,233,0,0,97,1732,966,3233
"Preston School District","=""1140011""","Preston Plains School","=""1145111""","*",31,43,24,15,19,27,"*",0,24,864,444,1508
"Preston School District","=""1140011""","Preston Veterans' Memorial School","=""1140411""",33,35,74,48,7,24,81,13,0,73,1645,818,2851
"Putnam School District","=""1160011""","Helping Hands","=""1169011""",0,"*",0,0,0,0,"*",0,0,"*",24,10,42
"Putnam School District","=""1160011""","PALS - Putnam Alternative Learning System","=""1160111""",0,0,0,"*",0,0,0,0,0,"*",12,0,14
"Putnam School District","=""1160011""","Putnam Elementary School","=""1160311""",8,6,84,40,58,70,349,12,0,189,3955,1760,6531
"Putnam School District","=""1160011""","Putnam High School","=""1166111""",9,20,22,48,46,34,147,0,0,115,1668,950,3059
"Putnam School District","=""1160011""","Putnam Middle School","=""1165111""","*",6,24,24,13,36,137,"*",0,108,1690,746,2794
"Redding School District","=""1170011""","John Read Middle School","=""1175111""","*",14,153,20,11,14,165,"*",0,210,3157,1667,5425
"Redding School District","=""1170011""","Redding Elementary School","=""1170111""","*","*",233,31,21,65,181,"*",0,227,3309,1903,5981
"Regional School District 01","=""2010012""","LEAPSS","=""2010412""",0,0,0,0,0,0,"*",0,0,0,"*",0,7
"Regional School District 01","=""2010012""","ALPSS","=""2010512""",0,0,0,0,0,0,"*",0,0,0,"*",0,"*"
"Regional School District 01","=""2010012""","Housatonic Valley Regional High School","=""2016112""","*","*",54,58,20,43,162,0,0,36,2753,1557,4687
"Regional School District 01","=""2010012""","SELC","=""2010312""",0,0,0,0,0,0,0,0,0,0,6,0,6
"Regional School District 01","=""2010012""","TOTAL","=""2010212""",0,0,0,0,0,0,0,0,0,0,7,0,7
"Regional School District 04","=""2040012""","John Winthrop Middle School","=""2045112""","*","*",51,31,11,27,110,0,0,43,2176,972,3429
"Regional School District 04","=""2040012""","Region 4 Transition Academy","=""2040112""",0,0,0,0,0,0,"*",0,0,0,"*",0,11
"Regional School District 04","=""2040012""","Valley Regional High School","=""2046112""","*","*",110,59,20,57,232,0,0,55,3898,1722,6165
"Regional School District 05","=""2050012""","Amity Middle School: Bethany","=""2055112""",0,"*",412,90,33,34,90,"*",0,74,2116,1045,3902
"Regional School District 05","=""2050012""","Amity Middle School: Orange","=""2055212""","*",11,453,72,27,37,111,"*",0,58,2148,1079,4002
"Regional School District 05","=""2050012""","Amity Regional High School","=""2056112""",8,32,1687,330,128,155,355,9,0,89,8895,4214,15902
"Regional School District 06","=""2060012""","Early Childhood Learning Center","=""2068112""",0,0,0,"*",0,0,"*",0,0,10,196,0,213
"Regional School District 06","=""2060012""","Goshen Center School","=""2060112""",0,12,12,13,"*",7,39,"*",0,32,1171,638,1933
"Regional School District 06","=""2060012""","James Morris School","=""2060212""",0,"*",10,21,8,10,46,"*",0,11,977,602,1690
"Regional School District 06","=""2060012""","Stepping Stones Preschool Program","=""2068012""",0,0,0,0,"*",0,0,0,0,0,0,"*",38
"Regional School District 06","=""2060012""","Wamogo Regional High School","=""2066112""","*",12,50,36,18,21,96,"*",0,61,3653,1613,5573
"Regional School District 06","=""2060012""","Warren Elementary School","=""2060312""",0,0,8,"*","*",12,19,0,0,13,530,273,860
"Regional School District 07","=""2070012""","AIM","=""2079112""",0,0,0,"*","*","*",7,0,0,0,70,24,111
"Regional School District 07","=""2070012""","FLEX","=""2079012""",0,0,0,0,"*","*",0,0,0,0,43,19,65
"Regional School District 07","=""2070012""","Highlander Transition Academy","=""2070112""",0,0,0,0,0,0,"*",0,0,0,"*",0,19
"Regional School District 07","=""2070012""","Intensive Learning Program","=""2079412""",0,0,0,"*",0,0,"*",0,0,0,21,10,39
"Regional School District 07","=""2070012""","LINKS","=""2079212""","*",0,8,"*","*","*",7,0,0,0,84,61,167
"Regional School District 07","=""2070012""","Links","=""2079212""","*",0,8,"*","*","*",7,0,0,0,84,61,167
"Regional School District 07","=""2070012""","Northwestern Regional High School","=""2076112""",0,"*",60,21,"*",15,92,0,0,8,4853,2221,7282
"Regional School District 07","=""2070012""","Northwestern Regional Middle School","=""2075112""",0,"*",32,10,6,12,34,"*",0,12,2308,1024,3443
"Regional School District 07","=""2070012""","STEP","=""2079312""",0,0,0,"*",0,0,0,0,0,0,121,"*",193
"Regional School District 08","=""2080012""","RHAM High School","=""2086112""","*",10,174,44,23,45,139,"*",0,40,7367,3065,10912
"Regional School District 08","=""2080012""","RHAM Middle School","=""2085112""","*","*",104,29,18,29,89,0,0,28,3864,1870,6037
"Regional School District 08","=""2080012""","Region Alternative High School","=""2086212""",0,0,0,0,0,0,"*",0,0,0,"*",0,17
"Regional School District 09","=""2090012""","Joel Barlow High School","=""2096112""","*",29,299,59,18,76,313,"*",0,134,6306,2693,9937
"Regional School District 10","=""2100012""","Har-Bur Middle School","=""2105112""",0,"*",150,34,13,59,203,"*",0,14,5465,2596,8545
"Regional School District 10","=""2100012""","Harwinton Consolidated School","=""2100312""",0,"*",72,21,"*",12,52,0,0,16,2865,1483,4534
"Regional School District 10","=""2100012""","Lake Garda Elementary School","=""2100212""",0,"*",141,19,24,63,79,"*",0,12,3227,1717,5294
"Regional School District 10","=""2100012""","Lewis S. Mills High School","=""2106112""",6,"*",146,29,15,58,227,"*",0,31,5165,2297,7979
"Regional School District 11","=""2110012""","Parish Hill High School","=""2116112""","*","*",17,42,14,29,143,6,0,31,1653,839,2784
"Regional School District 12","=""2120012""","Booth Free School","=""2120212""",0,"*","*","*",0,9,29,0,0,"*",604,349,1002
"Regional School District 12","=""2120012""","Early Childhood Education Center","=""2128012""",0,0,"*",0,0,0,"*",0,0,0,55,71,128
"Regional School District 12","=""2120012""","Shepaug Valley High School","=""2126112""",7,0,19,11,15,28,26,10,0,14,883,1002,2015
"Regional School District 12","=""2120012""","Shepaug Valley Middle School","=""2125112""","*",0,33,13,9,22,29,"*",0,0,579,668,1362
"Regional School District 12","=""2120012""","Shepaug Valley School","=""2120312""",0,"*",20,29,0,0,110,13,0,"*",1620,0,1801
"Regional School District 12","=""2120012""","The Burnham School","=""2120112""","*",0,6,0,0,"*","*",0,0,15,435,278,742
"Regional School District 12","=""2120012""","Washington Primary School","=""2120412""",0,"*",27,15,8,20,78,"*",0,10,961,495,1622
"Regional School District 13","=""2130012""","Coginchaug Regional High School","=""2136112""","*","*",79,19,16,26,146,0,0,103,3628,1670,5696
"Regional School District 13","=""2130012""","Francis E. Korn School","=""2130212""",6,0,28,0,6,39,42,0,0,41,895,544,1601
"Regional School District 13","=""2130012""","Frank Ward Strong School","=""2135112""","*","*",62,6,9,10,101,0,0,57,2118,1017,3385
"Regional School District 13","=""2130012""","Frederick Brewster School","=""2130112""","*",0,36,6,"*",32,70,0,0,80,1490,835,2558
"Regional School District 13","=""2130012""","John Lyman School","=""2130512""",0,0,73,15,8,16,78,0,0,60,1700,946,2896
"Regional School District 13","=""2130012""","Middlefield Memorial School","=""2130412""","*","*",58,"*",14,30,98,0,0,65,2029,1000,3303
"Regional School District 13","=""2130012""","Middlesex Transition Academy","=""2130312""",0,0,"*","*",0,0,0,0,0,"*",62,0,70
"Regional School District 14","=""2140012""","Bethlehem Elementary School","=""2140112""","*",9,42,"*","*",31,55,0,0,"*",1910,1053,3114
"Regional School District 14","=""2140012""","Integrated Star Preschool Program","=""2148012""",0,"*",13,0,"*","*",13,0,0,0,295,52,377
"Regional School District 14","=""2140012""","Mitchell Elementary School","=""2140212""","*",0,117,12,14,34,126,0,0,"*",2392,1195,3905
"Regional School District 14","=""2140012""","Nonnewaug Chiefs Alternative Program","=""2140312""",0,0,0,0,0,0,0,0,0,0,"*",0,"*"
