"Student Counts by School and Year"
"All Districts, All Schools"
"Trend"

"",,,,"Year",,,,,,,,,,
"Norwich School District","=""1040011""","Greeneville School","=""1040611""",342,326,328,0,0,0,0,0,0,0,996
"Norwich School District","=""1040011""","Hickory Street School","=""1049011""",15,14,19,14,16,16,19,20,0,0,133
"Norwich School District","=""1040011""","IRS Program at Moriarty","=""1040911""",0,0,0,0,0,0,0,0,"*","*",6
"Norwich School District","=""1040011""","IRS Program at Uncas","=""1040711""",0,0,0,0,0,0,0,0,"*",0,"*"
"Norwich School District","=""1040011""","John B. Stanton Network School","=""1041411""",282,389,353,399,402,412,398,368,357,331,3691
"Norwich School District","=""1040011""","Kelly Middle School","=""1045111""",746,678,631,619,624,699,658,671,754,700,6780
"Norwich School District","=""1040011""","Moriarty Magnet School","=""1042011""",369,429,366,507,426,446,414,390,405,406,4158
"Norwich School District","=""1040011""","Samuel Huntington School","=""1040811""",398,378,411,384,463,463,417,373,341,355,3983
"Norwich School District","=""1040011""","Special Needs Program","=""1040511""",0,0,0,0,0,0,0,0,23,13,36
"Norwich School District","=""1040011""","Teachers' Memorial Middle School","=""1045211""",540,472,520,539,494,451,468,491,337,331,4643
"Norwich School District","=""1040011""","Thames River Academy","=""1046111""",79,91,85,87,76,0,0,0,0,0,418
"Norwich School District","=""1040011""","Thomas W. Mahan School","=""1041711""",279,289,300,317,344,339,275,283,267,273,2966
"Norwich School District","=""1040011""","Uncas Network School","=""1041911""",193,178,169,299,331,277,280,250,230,242,2449
"Norwich School District","=""1040011""","Veterans' Memorial School","=""1041811""",278,234,233,328,320,344,297,311,320,315,2980
"Norwich School District","=""1040011""","Wequonnoc Magnet School","=""1041511""",255,225,236,260,260,278,255,236,245,259,2509
"Odyssey Community School District","=""2630013""","Odyssey Community School","=""2635113""",177,178,180,181,314,324,325,328,328,328,2663
"Old Saybrook School District","=""1060011""","Kathleen E. Goodwin School","=""1060211""",478,487,465,451,432,415,391,417,372,363,4271
"Old Saybrook School District","=""1060011""","Old Saybrook Middle School","=""1065211""",652,609,598,582,584,553,560,531,521,497,5687
"Old Saybrook School District","=""1060011""","Old Saybrook Senior High School","=""1066111""",483,525,528,535,543,527,486,466,444,451,4988
"Orange School District","=""1070011""","Mary L. Tracy School","=""1070211""",197,184,186,178,170,175,134,168,163,194,1749
"Orange School District","=""1070011""","Peck Place School","=""1070511""",439,439,411,395,393,380,374,349,355,345,3880
"Orange School District","=""1070011""","Race Brook School","=""1070311""",417,395,400,411,388,376,374,369,366,343,3839
"Orange School District","=""1070011""","Turkey Hill School","=""1070411""",319,298,300,297,319,316,309,293,292,283,3026
"Oxford School District","=""1080011""","Alternative Education","=""1080411""",0,0,0,0,0,0,0,0,12,14,26
"Oxford School District","=""1080011""","Great Oak School","=""1085111""",520,490,505,500,532,529,514,517,491,496,5094
"Oxford School District","=""1080011""","Oxford Center School","=""1080111""",499,533,536,525,518,507,503,480,472,436,5009
"Oxford School District","=""1080011""","Oxford High School","=""1086011""",266,418,565,629,584,589,600,575,592,599,5417
"Oxford School District","=""1080011""","Quaker Farms School","=""1080311""",565,573,550,543,504,470,428,396,392,393,4814
"Park City Prep Charter School District","=""2830013""","Park City Prep Charter School","=""2835113""",206,224,242,250,257,251,260,360,360,360,2770
"Path Academy District","=""2930013""","Path Academy","=""2930113""",0,0,0,0,0,0,0,132,143,157,432
"Plainfield School District","=""1090011""","Early Childhood Center","=""1090511""",266,277,274,16,16,18,18,19,18,20,471
"Plainfield School District","=""1090011""","Early Childhood Center","=""1098011""",266,277,274,16,16,18,18,19,18,20,471
"Plainfield School District","=""1090011""","Moosup Elementary School","=""1090111""",301,287,295,403,375,358,339,322,312,309,3301
"Plainfield School District","=""1090011""","Plainfield Central School","=""1095111""",572,560,573,585,595,587,593,567,532,506,5670
"Plainfield School District","=""1090011""","Plainfield High School","=""1096111""",916,873,852,792,758,740,700,683,695,669,7678
"Plainfield School District","=""1090011""","Plainfield Memorial School","=""1090311""",386,398,419,408,407,386,372,336,326,344,3782
"Plainfield School District","=""1090011""","Shepard Hill Elementary School","=""1090411""",321,308,309,422,416,403,429,410,428,425,3871
"Plainville School District","=""1100011""","Frank T. Wheeler School","=""1100411""",328,314,283,267,271,267,276,308,309,299,2922
"Plainville School District","=""1100011""","Linden Street School","=""1100211""",388,408,413,412,431,410,399,445,423,414,4143
"Plainville School District","=""1100011""","Louis Toffolon School","=""1100511""",330,338,350,365,360,353,354,384,369,386,3589
"Plainville School District","=""1100011""","Middle School of Plainville","=""1105211""",622,580,574,575,547,538,531,538,545,548,5598
"Plainville School District","=""1100011""","Plainville High School","=""1106111""",898,841,862,796,755,741,723,715,744,700,7775
"Plainville School District","=""1100011""","Prekindergarten Program","=""1108011""",35,39,54,48,42,48,36,0,0,0,302
"Plymouth School District","=""1110011""","Eli Terry Jr. Middle School","=""1115111""",484,475,455,441,427,422,380,356,337,338,4115
"Plymouth School District","=""1110011""","Harry S. Fisher Elementary School","=""1110411""",0,400,393,362,349,334,346,367,377,341,3269
"Plymouth School District","=""1110011""","Main Street School","=""1110111""",181,0,0,0,0,0,0,0,0,0,181
"Plymouth School District","=""1110011""","Plymouth Alternative High School","=""1117111""",0,0,0,0,0,0,16,"*","*",0,34
"Plymouth School District","=""1110011""","Plymouth Center School","=""1110211""",506,417,412,400,364,360,352,342,313,313,3779
"Plymouth School District","=""1110011""","Prospect Street School","=""1110311""",173,0,0,0,0,0,0,0,0,0,173
"Plymouth School District","=""1110011""","Terryville High School","=""1116111""",553,556,521,527,508,490,470,463,476,493,5057
"Pomfret School District","=""1120011""","Pomfret Community School","=""1120111""",540,540,532,513,471,472,424,408,400,375,4675
"Portland School District","=""1130011""","Brownstone Intermediate School","=""1130511""",240,229,237,233,245,244,225,214,219,209,2295
"Portland School District","=""1130011""","Gildersleeve School","=""1130411""",240,229,248,242,219,211,203,193,206,295,2286
"Portland School District","=""1130011""","Portland High School","=""1136111""",364,362,362,367,360,374,384,369,384,376,3702
"Portland School District","=""1130011""","Portland Middle School","=""1135111""",215,245,240,226,230,230,250,239,220,216,2311
"Portland School District","=""1130011""","Valley View School","=""1130211""",370,364,349,336,312,316,316,313,323,234,3233
"Preston School District","=""1140011""","Preston Plains School","=""1145111""",191,168,148,135,129,135,155,157,152,138,1508
"Preston School District","=""1140011""","Preston Veterans' Memorial School","=""1140411""",312,320,284,295,267,271,268,261,286,287,2851
"Putnam School District","=""1160011""","Helping Hands","=""1169011""",0,"*","*","*","*","*","*","*","*","*",42
"Putnam School District","=""1160011""","PALS - Putnam Alternative Learning System","=""1160111""",0,0,0,0,0,0,0,0,"*","*",14
"Putnam School District","=""1160011""","Putnam Elementary School","=""1160311""",629,646,644,699,667,665,677,668,617,619,6531
"Putnam School District","=""1160011""","Putnam High School","=""1166111""",394,325,327,314,299,294,277,273,276,280,3059
"Putnam School District","=""1160011""","Putnam Middle School","=""1165111""",284,270,254,275,288,299,289,295,272,268,2794
"Redding School District","=""1170011""","John Read Middle School","=""1175111""",574,587,595,582,592,553,520,513,473,436,5425
"Redding School District","=""1170011""","Redding Elementary School","=""1170111""",734,714,670,661,615,579,540,488,480,500,5981
"Regional School District 01","=""2010012""","LEAPSS","=""2010412""",0,0,0,0,0,0,0,0,"*","*",7
"Regional School District 01","=""2010012""","ALPSS","=""2010512""",0,0,0,0,0,0,0,0,0,"*","*"
"Regional School District 01","=""2010012""","Housatonic Valley Regional High School","=""2016112""",562,555,510,502,463,421,428,404,430,412,4687
"Regional School District 01","=""2010012""","SELC","=""2010312""",0,0,0,0,0,0,0,0,"*","*",6
"Regional School District 01","=""2010012""","TOTAL","=""2010212""",0,0,0,0,0,0,0,0,"*","*",7
"Regional School District 04","=""2040012""","John Winthrop Middle School","=""2045112""",338,332,354,364,338,366,357,332,315,333,3429
"Regional School District 04","=""2040012""","Region 4 Transition Academy","=""2040112""",0,0,0,0,0,0,0,0,"*","*",11
"Regional School District 04","=""2040012""","Valley Regional High School","=""2046112""",616,617,618,609,619,624,621,635,600,606,6165
"Regional School District 05","=""2050012""","Amity Middle School: Bethany","=""2055112""",404,400,423,414,378,355,389,386,383,370,3902
"Regional School District 05","=""2050012""","Amity Middle School: Orange","=""2055212""",415,431,430,412,390,372,385,392,375,400,4002
"Regional School District 05","=""2050012""","Amity Regional High School","=""2056112""",1649,1657,1630,1649,1657,1621,1577,1524,1486,1452,15902
"Regional School District 06","=""2060012""","Early Childhood Learning Center","=""2068112""",0,0,0,0,0,41,51,57,64,0,213
"Regional School District 06","=""2060012""","Goshen Center School","=""2060112""",218,215,218,213,211,191,174,150,149,194,1933
"Regional School District 06","=""2060012""","James Morris School","=""2060212""",211,208,207,196,183,158,138,125,116,148,1690
"Regional School District 06","=""2060012""","Stepping Stones Preschool Program","=""2068012""",14,10,14,0,0,0,0,0,0,0,38
"Regional School District 06","=""2060012""","Wamogo Regional High School","=""2066112""",573,559,536,545,556,561,552,567,576,548,5573
"Regional School District 06","=""2060012""","Warren Elementary School","=""2060312""",108,90,96,93,89,78,80,66,78,82,860
"Regional School District 07","=""2070012""","AIM","=""2079112""",7,9,13,16,15,15,10,10,9,7,111
"Regional School District 07","=""2070012""","FLEX","=""2079012""",6,12,"*",6,"*",6,7,8,"*",8,65
"Regional School District 07","=""2070012""","Highlander Transition Academy","=""2070112""",0,0,0,0,0,0,0,0,0,19,19
"Regional School District 07","=""2070012""","Intensive Learning Program","=""2079412""",0,"*",6,11,9,"*","*",0,0,0,39
"Regional School District 07","=""2070012""","LINKS","=""2079212""",23,21,23,15,12,13,14,13,17,16,167
"Regional School District 07","=""2070012""","Links","=""2079212""",23,21,23,15,12,13,14,13,17,16,167
"Regional School District 07","=""2070012""","Northwestern Regional High School","=""2076112""",748,753,757,762,715,714,716,693,719,705,7282
"Regional School District 07","=""2070012""","Northwestern Regional Middle School","=""2075112""",351,358,342,330,369,360,360,332,315,326,3443
"Regional School District 07","=""2070012""","STEP","=""2079312""",15,33,21,28,26,17,12,8,21,12,193
"Regional School District 08","=""2080012""","RHAM High School","=""2086112""",1019,1084,1085,1156,1175,1133,1118,1094,1023,1025,10912
"Regional School District 08","=""2080012""","RHAM Middle School","=""2085112""",644,660,644,609,609,627,608,555,567,514,6037
"Regional School District 08","=""2080012""","Region Alternative High School","=""2086212""",0,0,0,0,0,7,10,0,0,0,17
"Regional School District 09","=""2090012""","Joel Barlow High School","=""2096112""",963,957,958,968,1006,1012,1064,1049,1008,952,9937
"Regional School District 10","=""2100012""","Har-Bur Middle School","=""2105112""",929,889,906,889,879,850,831,809,786,777,8545
"Regional School District 10","=""2100012""","Harwinton Consolidated School","=""2100312""",532,508,477,476,445,464,444,417,399,372,4534
"Regional School District 10","=""2100012""","Lake Garda Elementary School","=""2100212""",605,620,621,574,519,508,494,468,442,443,5294
"Regional School District 10","=""2100012""","Lewis S. Mills High School","=""2106112""",778,830,813,822,822,802,796,778,778,760,7979
"Regional School District 11","=""2110012""","Parish Hill High School","=""2116112""",291,309,291,274,292,280,287,269,245,246,2784
"Regional School District 12","=""2120012""","Booth Free School","=""2120212""",129,121,112,113,107,94,85,78,77,86,1002
"Regional School District 12","=""2120012""","Early Childhood Education Center","=""2128012""",21,21,29,19,17,21,0,0,0,0,128
"Regional School District 12","=""2120012""","Shepaug Valley High School","=""2126112""",393,347,323,326,306,320,0,0,0,0,2015
"Regional School District 12","=""2120012""","Shepaug Valley Middle School","=""2125112""",232,244,248,226,213,199,0,0,0,0,1362
"Regional School District 12","=""2120012""","Shepaug Valley School","=""2120312""",0,0,0,0,0,0,492,461,439,409,1801
"Regional School District 12","=""2120012""","The Burnham School","=""2120112""",106,94,87,84,83,69,64,55,53,47,742
"Regional School District 12","=""2120012""","Washington Primary School","=""2120412""",177,184,169,162,160,138,155,153,159,165,1622
"Regional School District 13","=""2130012""","Coginchaug Regional High School","=""2136112""",587,569,577,569,582,577,576,556,556,547,5696
"Regional School District 13","=""2130012""","Francis E. Korn School","=""2130212""",213,199,193,200,192,174,146,141,143,0,1601
"Regional School District 13","=""2130012""","Frank Ward Strong School","=""2135112""",360,350,346,350,358,334,334,338,318,297,3385
