"Chronic Absenteeism, 2015-16"
"State of Connecticut, All Schools, Grade"

"Organization","School","School Code","Grade","% Chronically Absent"
"New Beginnings Inc., Family Academy District","New Beginnings Inc Family Academy","=""2800113""","Grade   4","*"
"New Beginnings Inc., Family Academy District","New Beginnings Inc Family Academy","=""2800113""","Grade   5","*"
"New Beginnings Inc., Family Academy District","New Beginnings Inc Family Academy","=""2800113""","Grade   6",17.6
"New Beginnings Inc., Family Academy District","New Beginnings Inc Family Academy","=""2800113""","Grade   7",0.0
"New Beginnings Inc., Family Academy District","New Beginnings Inc Family Academy","=""2800113""","Grade   8","*"
"New Britain School District","Hartford Detention Center","=""3480315""","Grade   7","*"
"New Britain School District","Hartford Detention Center","=""3480315""","Grade   9","*"
"New Britain School District","Behavior Support","=""0891011""","Kindergarten","*"
"New Britain School District","Behavior Support","=""0891011""","Grade   2","*"
"New Britain School District","Behavior Support","=""0891011""","Grade   3","*"
"New Britain School District","Behavior Support","=""0891011""","Grade   4","*"
"New Britain School District","Behavior Support","=""0891011""","Grade   5","*"
"New Britain School District","Chamberlain  Elementary School","=""0890311""","Kindergarten",23.2
"New Britain School District","Chamberlain  Elementary School","=""0890311""","Grade   1",11.1
"New Britain School District","Chamberlain  Elementary School","=""0890311""","Grade   2",8.0
"New Britain School District","Chamberlain  Elementary School","=""0890311""","Grade   3","*"
"New Britain School District","Chamberlain  Elementary School","=""0890311""","Grade   4","*"
"New Britain School District","Chamberlain  Elementary School","=""0890311""","Grade   5",12.0
"New Britain School District","Frank J. DiLoreto School","=""0891111""","Kindergarten",16.7
"New Britain School District","Frank J. DiLoreto School","=""0891111""","Grade   1",7.9
"New Britain School District","Frank J. DiLoreto School","=""0891111""","Grade   2","*"
"New Britain School District","Frank J. DiLoreto School","=""0891111""","Grade   3",8.8
"New Britain School District","Frank J. DiLoreto School","=""0891111""","Grade   4","*"
"New Britain School District","Frank J. DiLoreto School","=""0891111""","Grade   5","*"
"New Britain School District","Frank J. DiLoreto School","=""0891111""","Grade   6",9.1
"New Britain School District","Frank J. DiLoreto School","=""0891111""","Grade   7","*"
"New Britain School District","Frank J. DiLoreto School","=""0891111""","Grade   8",10.4
"New Britain School District","Gaffney School","=""0890511""","Kindergarten",6.9
"New Britain School District","Gaffney School","=""0890511""","Grade   1","*"
"New Britain School District","Gaffney School","=""0890511""","Grade   2",10.9
"New Britain School District","Gaffney School","=""0890511""","Grade   3","*"
"New Britain School District","Gaffney School","=""0890511""","Grade   4","*"
"New Britain School District","Gaffney School","=""0890511""","Grade   5","*"
"New Britain School District","Holmes School","=""0890611""","Kindergarten",16.5
"New Britain School District","Holmes School","=""0890611""","Grade   1",11.9
"New Britain School District","Holmes School","=""0890611""","Grade   2",11.0
"New Britain School District","Holmes School","=""0890611""","Grade   3","*"
"New Britain School District","Holmes School","=""0890611""","Grade   4","*"
"New Britain School District","Holmes School","=""0890611""","Grade   5",11.6
"New Britain School District","Jefferson School","=""0890711""","Kindergarten","*"
"New Britain School District","Jefferson School","=""0890711""","Grade   1",8.7
"New Britain School District","Jefferson School","=""0890711""","Grade   2","*"
"New Britain School District","Jefferson School","=""0890711""","Grade   3","*"
"New Britain School District","Jefferson School","=""0890711""","Grade   4",0.0
"New Britain School District","Jefferson School","=""0890711""","Grade   5","*"
"New Britain School District","KEY Elementary","=""0891611""","Kindergarten","*"
"New Britain School District","KEY Elementary","=""0891611""","Grade   1","*"
"New Britain School District","KEY Elementary","=""0891611""","Grade   2","*"
"New Britain School District","KEY Elementary","=""0891611""","Grade   3","*"
"New Britain School District","KEY Elementary","=""0891611""","Grade   4","*"
"New Britain School District","KEY Elementary","=""0891611""","Grade   5","*"
"New Britain School District","Lincoln School","=""0890811""","Kindergarten",15.1
"New Britain School District","Lincoln School","=""0890811""","Grade   1",16.8
"New Britain School District","Lincoln School","=""0890811""","Grade   2",9.2
"New Britain School District","Lincoln School","=""0890811""","Grade   3",15.7
"New Britain School District","Lincoln School","=""0890811""","Grade   4",8.2
"New Britain School District","Lincoln School","=""0890811""","Grade   5",10.9
"New Britain School District","New Britain Transition Center","=""0899011""","Kindergarten","*"
"New Britain School District","New Britain Transition Center","=""0899011""","Grade   1","*"
"New Britain School District","New Britain Transition Center","=""0899011""","Grade   2","*"
"New Britain School District","New Britain Transition Center","=""0899011""","Grade   4","*"
"New Britain School District","New Britain Transition Center","=""0899011""","Grade   5","*"
"New Britain School District","New Britain Transition Center","=""0899011""","Grade   6","*"
"New Britain School District","New Britain Transition Center","=""0899011""","Grade   7","*"
"New Britain School District","New Britain Transition Center","=""0899011""","Grade   8","*"
"New Britain School District","New Britain Transition Center","=""0899011""","Grade   9","*"
"New Britain School District","New Britain Transition Center","=""0899011""","Grade 10","*"
"New Britain School District","New Britain Transition Center","=""0899011""","Grade 11","*"
"New Britain School District","New Britain Transition Center","=""0899011""","Grade 12","*"
"New Britain School District","Northend School","=""0890911""","Kindergarten",13.2
"New Britain School District","Northend School","=""0890911""","Grade   1",13.2
"New Britain School District","Northend School","=""0890911""","Grade   2","*"
"New Britain School District","Northend School","=""0890911""","Grade   3","*"
"New Britain School District","Northend School","=""0890911""","Grade   4","*"
"New Britain School District","Northend School","=""0890911""","Grade   5","*"
"New Britain School District","Smalley Academy","=""0891211""","Kindergarten",34.5
"New Britain School District","Smalley Academy","=""0891211""","Grade   1",16.2
"New Britain School District","Smalley Academy","=""0891211""","Grade   2",14.8
"New Britain School District","Smalley Academy","=""0891211""","Grade   3",7.8
"New Britain School District","Smalley Academy","=""0891211""","Grade   4",13.2
"New Britain School District","Smalley Academy","=""0891211""","Grade   5",12.8
"New Britain School District","Smith School","=""0891311""","Kindergarten",9.5
"New Britain School District","Smith School","=""0891311""","Grade   1","*"
"New Britain School District","Smith School","=""0891311""","Grade   2","*"
"New Britain School District","Smith School","=""0891311""","Grade   3","*"
"New Britain School District","Smith School","=""0891311""","Grade   4","*"
"New Britain School District","Smith School","=""0891311""","Grade   5",7.7
"New Britain School District","Sunrise Primary","=""0890211""","Kindergarten","*"
"New Britain School District","Sunrise Primary","=""0890211""","Grade   1","*"
"New Britain School District","Sunrise Primary","=""0890211""","Grade   2","*"
"New Britain School District","Sunrise Primary","=""0890211""","Grade   3","*"
"New Britain School District","Sunrise Primary","=""0890211""","Grade   4","*"
"New Britain School District","Vance School","=""0891511""","Kindergarten",15.7
"New Britain School District","Vance School","=""0891511""","Grade   1",7.1
"New Britain School District","Vance School","=""0891511""","Grade   2",12.3
"New Britain School District","Vance School","=""0891511""","Grade   3",7.3
"New Britain School District","Vance School","=""0891511""","Grade   4",12.2
"New Britain School District","Vance School","=""0891511""","Grade   5",7.1
"New Britain School District","Sunrise Intermediate","=""0890411""","Grade   3","*"
"New Britain School District","Sunrise Intermediate","=""0890411""","Grade   4","*"
"New Britain School District","Sunrise Intermediate","=""0890411""","Grade   5","*"
"New Britain School District","House of Arts Letters and Science (HALS)  Academy","=""0895411""","Grade   6",0.0
"New Britain School District","House of Arts Letters and Science (HALS)  Academy","=""0895411""","Grade   7","*"
"New Britain School District","House of Arts Letters and Science (HALS)  Academy","=""0895411""","Grade   8","*"
"New Britain School District","KEY Middle","=""0891711""","Grade   6","*"
"New Britain School District","KEY Middle","=""0891711""","Grade   7","*"
"New Britain School District","KEY Middle","=""0891711""","Grade   8","*"
"New Britain School District","Pulaski Middle School","=""0895311""","Grade   6",13.6
"New Britain School District","Pulaski Middle School","=""0895311""","Grade   7",17.3
"New Britain School District","Pulaski Middle School","=""0895311""","Grade   8",21.9
"New Britain School District","Slade Middle School","=""0895211""","Grade   6",19.3
"New Britain School District","Slade Middle School","=""0895211""","Grade   7",19.8
"New Britain School District","Slade Middle School","=""0895211""","Grade   8",22.7
"New Britain School District","Steps","=""0891811""","Grade   6","*"
"New Britain School District","Steps","=""0891811""","Grade   7","*"
"New Britain School District","Steps","=""0891811""","Grade   8","*"
"New Britain School District","Alternative Center School","=""0899111""","Grade   7","*"
"New Britain School District","Alternative Center School","=""0899111""","Grade   8","*"
"New Britain School District","Alternative Center School","=""0899111""","Grade   9",75.0
"New Britain School District","Alternative Center School","=""0899111""","Grade 10","*"
"New Britain School District","Alternative Center School","=""0899111""","Grade 11","*"
"New Britain School District","Alternative Center School","=""0899111""","Grade 12","*"
"New Britain School District","New Britain High School","=""0896111""","Grade   9",34.0
"New Britain School District","New Britain High School","=""0896111""","Grade 10",32.3
"New Britain School District","New Britain High School","=""0896111""","Grade 11",31.2
