"Chronic Absenteeism, 2013-14"
"State of Connecticut, All Schools, Race/Ethnicity"

"Organization","School","School Code","Race/Ethnicity","% Chronically Absent"
"North Branford School District","North Branford High School","=""0996111""","Black or African American","*"
"North Branford School District","North Branford High School","=""0996111""","Hispanic/Latino of any race","*"
"North Branford School District","North Branford High School","=""0996111""","White",6.8
"North Branford School District","North Branford Intermediate School","=""0995111""","American Indian or Alaska Native","*"
"North Branford School District","North Branford Intermediate School","=""0995111""","Asian","*"
"North Branford School District","North Branford Intermediate School","=""0995111""","Black or African American","*"
"North Branford School District","North Branford Intermediate School","=""0995111""","Hispanic/Latino of any race","*"
"North Branford School District","North Branford Intermediate School","=""0995111""","White",4.9
"North Branford School District","Totoket Valley Elementary School","=""0990611""","American Indian or Alaska Native","*"
"North Branford School District","Totoket Valley Elementary School","=""0990611""","Asian","*"
"North Branford School District","Totoket Valley Elementary School","=""0990611""","Black or African American","*"
"North Branford School District","Totoket Valley Elementary School","=""0990611""","Hispanic/Latino of any race",0.0
"North Branford School District","Totoket Valley Elementary School","=""0990611""","Two or More Races","*"
"North Branford School District","Totoket Valley Elementary School","=""0990611""","White",1.4
"North Branford School District","Jerome Harrison School","=""0990411""","Asian","*"
"North Branford School District","Jerome Harrison School","=""0990411""","Black or African American","*"
"North Branford School District","Jerome Harrison School","=""0990411""","Hispanic/Latino of any race","*"
"North Branford School District","Jerome Harrison School","=""0990411""","Two or More Races","*"
"North Branford School District","Jerome Harrison School","=""0990411""","White",2.0
"North Branford School District","School to Work Program","=""0999011""","Black or African American","*"
"North Branford School District","School to Work Program","=""0999011""","White","*"
"North Canaan School District","North Canaan Elementary School","=""1000111""","Asian","*"
"North Canaan School District","North Canaan Elementary School","=""1000111""","Black or African American","*"
"North Canaan School District","North Canaan Elementary School","=""1000111""","Hispanic/Latino of any race","*"
"North Canaan School District","North Canaan Elementary School","=""1000111""","Two or More Races","*"
"North Canaan School District","North Canaan Elementary School","=""1000111""","White",6.3
"North Haven School District","Green Acres Elementary School","=""1010711""","American Indian or Alaska Native","*"
"North Haven School District","Green Acres Elementary School","=""1010711""","Asian",16.2
"North Haven School District","Green Acres Elementary School","=""1010711""","Black or African American","*"
"North Haven School District","Green Acres Elementary School","=""1010711""","Hispanic/Latino of any race","*"
"North Haven School District","Green Acres Elementary School","=""1010711""","Two or More Races","*"
"North Haven School District","Green Acres Elementary School","=""1010711""","White",3.2
"North Haven School District","North Haven High School","=""1016111""","American Indian or Alaska Native","*"
"North Haven School District","North Haven High School","=""1016111""","Asian","*"
"North Haven School District","North Haven High School","=""1016111""","Black or African American",14.3
"North Haven School District","North Haven High School","=""1016111""","Hispanic/Latino of any race",20.3
"North Haven School District","North Haven High School","=""1016111""","Native Hawaiian or Other Pacific Islander","*"
"North Haven School District","North Haven High School","=""1016111""","Two or More Races",26.9
"North Haven School District","North Haven High School","=""1016111""","White",14.1
"North Haven School District","North Haven Middle School","=""1015211""","American Indian or Alaska Native","*"
"North Haven School District","North Haven Middle School","=""1015211""","Asian",0.0
"North Haven School District","North Haven Middle School","=""1015211""","Black or African American","*"
"North Haven School District","North Haven Middle School","=""1015211""","Hispanic/Latino of any race","*"
"North Haven School District","North Haven Middle School","=""1015211""","Two or More Races","*"
"North Haven School District","North Haven Middle School","=""1015211""","White",7.7
"North Haven School District","Clintonville Elementary School","=""1010811""","Asian","*"
"North Haven School District","Clintonville Elementary School","=""1010811""","Black or African American","*"
"North Haven School District","Clintonville Elementary School","=""1010811""","Hispanic/Latino of any race",0.0
"North Haven School District","Clintonville Elementary School","=""1010811""","Two or More Races","*"
"North Haven School District","Clintonville Elementary School","=""1010811""","White",4.9
"North Haven School District","Montowese Elementary School","=""1010211""","Asian","*"
"North Haven School District","Montowese Elementary School","=""1010211""","Black or African American","*"
"North Haven School District","Montowese Elementary School","=""1010211""","Hispanic/Latino of any race","*"
"North Haven School District","Montowese Elementary School","=""1010211""","Two or More Races","*"
"North Haven School District","Montowese Elementary School","=""1010211""","White",2.8
"North Haven School District","Ridge Road Elementary School","=""1010311""","Asian","*"
"North Haven School District","Ridge Road Elementary School","=""1010311""","Black or African American","*"
"North Haven School District","Ridge Road Elementary School","=""1010311""","Hispanic/Latino of any race","*"
"North Haven School District","Ridge Road Elementary School","=""1010311""","Two or More Races","*"
"North Haven School District","Ridge Road Elementary School","=""1010311""","White",3.3
"North Stonington School District","North Stonington Elementary School","=""1020111""","American Indian or Alaska Native","*"
"North Stonington School District","North Stonington Elementary School","=""1020111""","Asian","*"
"North Stonington School District","North Stonington Elementary School","=""1020111""","Black or African American","*"
"North Stonington School District","North Stonington Elementary School","=""1020111""","Hispanic/Latino of any race","*"
"North Stonington School District","North Stonington Elementary School","=""1020111""","Two or More Races","*"
"North Stonington School District","North Stonington Elementary School","=""1020111""","White",0.0
"North Stonington School District","Wheeler High School","=""1026111""","American Indian or Alaska Native","*"
"North Stonington School District","Wheeler High School","=""1026111""","Asian","*"
"North Stonington School District","Wheeler High School","=""1026111""","Black or African American","*"
"North Stonington School District","Wheeler High School","=""1026111""","Hispanic/Latino of any race","*"
"North Stonington School District","Wheeler High School","=""1026111""","Two or More Races","*"
"North Stonington School District","Wheeler High School","=""1026111""","White",16.8
"North Stonington School District","Wheeler Middle School","=""1025111""","American Indian or Alaska Native","*"
