"Chronic Absenteeism, 2011-12"
", All Schools, Special Education Status"

"District","District Code","School","School Code","Special Education Status","% Chronically Absent"
"Regional School District 13","=""2130012""","John Lyman School","=""2130512""","Non-Special Education","*"
"Regional School District 13","=""2130012""","John Lyman School","=""2130512""","Special Education","*"
"Regional School District 13","=""2130012""","Middlefield Memorial School","=""2130412""","Non-Special Education",4.4
"Regional School District 13","=""2130012""","Middlefield Memorial School","=""2130412""","Special Education",11.1
"Regional School District 14","=""2140012""","Bethlehem Elementary School","=""2140112""","Non-Special Education","*"
"Regional School District 14","=""2140012""","Bethlehem Elementary School","=""2140112""","Special Education","*"
"Regional School District 14","=""2140012""","Mitchell Elementary School","=""2140212""","Non-Special Education","*"
"Regional School District 14","=""2140012""","Mitchell Elementary School","=""2140212""","Special Education","*"
"Regional School District 14","=""2140012""","Nonnewaug High School","=""2146112""","Non-Special Education","*"
"Regional School District 14","=""2140012""","Nonnewaug High School","=""2146112""","Special Education","*"
"Regional School District 14","=""2140012""","Woodbury Middle School","=""2145112""","Non-Special Education","*"
"Regional School District 14","=""2140012""","Woodbury Middle School","=""2145112""","Special Education","*"
"Regional School District 15","=""2150012""","Gainfield Elementary School","=""2150412""","Non-Special Education",4.5
"Regional School District 15","=""2150012""","Gainfield Elementary School","=""2150412""","Special Education",19.4
"Regional School District 15","=""2150012""","Long Meadow Elementary School","=""2150712""","Non-Special Education","*"
"Regional School District 15","=""2150012""","Long Meadow Elementary School","=""2150712""","Special Education","*"
"Regional School District 15","=""2150012""","Memorial Middle School","=""2155212""","Non-Special Education",6.0
"Regional School District 15","=""2150012""","Memorial Middle School","=""2155212""","Special Education",9.8
"Regional School District 15","=""2150012""","Middlebury Elementary School","=""2150612""","Non-Special Education","*"
"Regional School District 15","=""2150012""","Middlebury Elementary School","=""2150612""","Special Education","*"
"Regional School District 15","=""2150012""","Pomperaug Regional High School","=""2156212""","Non-Special Education",2.7
"Regional School District 15","=""2150012""","Pomperaug Regional High School","=""2156212""","Special Education",13.4
"Regional School District 15","=""2150012""","Pomperaug School","=""2150512""","Non-Special Education",5.8
"Regional School District 15","=""2150012""","Pomperaug School","=""2150512""","Special Education",15.1
"Regional School District 15","=""2150012""","Rochambeau Middle School","=""2155112""","Non-Special Education",3.2
"Regional School District 15","=""2150012""","Rochambeau Middle School","=""2155112""","Special Education",11.0
"Regional School District 16","=""2160012""","Algonquin School","=""2160312""","Non-Special Education","*"
"Regional School District 16","=""2160012""","Algonquin School","=""2160312""","Special Education","*"
"Regional School District 16","=""2160012""","Community School","=""2160212""","Non-Special Education","*"
"Regional School District 16","=""2160012""","Community School","=""2160212""","Special Education","*"
"Regional School District 16","=""2160012""","Laurel Ledge School","=""2160112""","Non-Special Education","*"
"Regional School District 16","=""2160012""","Laurel Ledge School","=""2160112""","Special Education","*"
"Regional School District 16","=""2160012""","Long River Middle School","=""2165112""","Non-Special Education","*"
"Regional School District 16","=""2160012""","Long River Middle School","=""2165112""","Special Education","*"
"Regional School District 16","=""2160012""","Woodland Regional High School","=""2166012""","Non-Special Education",14.2
"Regional School District 16","=""2160012""","Woodland Regional High School","=""2166012""","Special Education",23.9
"Regional School District 17","=""2170012""","Burr District Elementary School","=""2170212""","Non-Special Education","*"
"Regional School District 17","=""2170012""","Burr District Elementary School","=""2170212""","Special Education","*"
"Regional School District 17","=""2170012""","Haddam Elementary School","=""2170112""","Non-Special Education",3.9
"Regional School District 17","=""2170012""","Haddam Elementary School","=""2170112""","Special Education",0.0
"Regional School District 17","=""2170012""","Haddam-Killingworth High School","=""2176112""","Non-Special Education",2.8
"Regional School District 17","=""2170012""","Haddam-Killingworth High School","=""2176112""","Special Education",16.9
"Regional School District 17","=""2170012""","Haddam-Killingworth Middle School","=""2175112""","Non-Special Education",4.8
"Regional School District 17","=""2170012""","Haddam-Killingworth Middle School","=""2175112""","Special Education",7.6
"Regional School District 17","=""2170012""","Killingworth Elementary School","=""2170312""","Non-Special Education","*"
"Regional School District 17","=""2170012""","Killingworth Elementary School","=""2170312""","Special Education","*"
"Regional School District 18","=""2180012""","Center School","=""2180312""","Non-Special Education",6.1
"Regional School District 18","=""2180012""","Center School","=""2180312""","Special Education","*"
"Regional School District 18","=""2180012""","Lyme Consolidated School","=""2180112""","Non-Special Education","*"
"Regional School District 18","=""2180012""","Lyme Consolidated School","=""2180112""","Special Education","*"
"Regional School District 18","=""2180012""","Lyme-Old Lyme High School","=""2186112""","Non-Special Education",3.7
"Regional School District 18","=""2180012""","Lyme-Old Lyme High School","=""2186112""","Special Education",16.2
"Regional School District 18","=""2180012""","Lyme-Old Lyme Middle School","=""2185112""","Non-Special Education","*"
"Regional School District 18","=""2180012""","Lyme-Old Lyme Middle School","=""2185112""","Special Education","*"
"Regional School District 18","=""2180012""","Mile Creek School","=""2180212""","Non-Special Education","*"
"Regional School District 18","=""2180012""","Mile Creek School","=""2180212""","Special Education","*"
"Regional School District 19","=""2190012""","E. O. Smith High School","=""2196112""","Non-Special Education",14.0
"Regional School District 19","=""2190012""","E. O. Smith High School","=""2196112""","Special Education",23.2
"Ridgefield School District","=""1180011""","Barlow Mountain Elementary School","=""1180811""","Non-Special Education","*"
"Ridgefield School District","=""1180011""","Barlow Mountain Elementary School","=""1180811""","Special Education","*"
"Ridgefield School District","=""1180011""","Branchville Elementary School","=""1180611""","Non-Special Education","*"
"Ridgefield School District","=""1180011""","Branchville Elementary School","=""1180611""","Special Education","*"
"Ridgefield School District","=""1180011""","East Ridge Middle School","=""1185111""","Non-Special Education","*"
"Ridgefield School District","=""1180011""","East Ridge Middle School","=""1185111""","Special Education","*"
"Ridgefield School District","=""1180011""","Farmingville Elementary School","=""1180411""","Non-Special Education","*"
"Ridgefield School District","=""1180011""","Farmingville Elementary School","=""1180411""","Special Education","*"
"Ridgefield School District","=""1180011""","Ridgebury Elementary School","=""1180311""","Non-Special Education",3.9
"Ridgefield School District","=""1180011""","Ridgebury Elementary School","=""1180311""","Special Education",0.0
"Ridgefield School District","=""1180011""","Ridgefield High School","=""1186111""","Non-Special Education",6.4
"Ridgefield School District","=""1180011""","Ridgefield High School","=""1186111""","Special Education",21.1
"Ridgefield School District","=""1180011""","Ridgefield Transition Program","=""1189011""","Special Education","*"
